Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
0,452,120,7,0,5,90,12,25,0,2,1,4,0,4,0
0,453,160,9,0,6,135,18,35,0,2,2,6,0,8,0
0,454,290,11,0,7,125,41,35,1,34,8,10,0,25,4
0,455,350,13,0,8,150,50,40,1,43,9,10,0,30,6
0,456,480,16,1,10,220,70,50,2,62,14,15,0,40,8
0,457,240,5,0,3,125,41,20,1,35,8,10,0,25,4
0,458,290,5,0,4,150,50,20,1,43,10,15,0,30,6
0,459,390,6,0,4,220,71,25,2,62,14,20,0,45,8
0,460,280,11,0,7,140,38,35,0,33,8,10,0,25,2
0,461,340,13,0,7,170,46,40,1,41,9,10,0,30,2
0,462,460,16,1,10,250,65,50,1,59,13,15,0,40,4
0,463,230,5,0,3,140,38,20,0,33,8,10,0,25,2
0,464,270,5,0,3,170,47,20,1,41,10,15,0,30,2
0,465,370,6,0,4,250,65,25,1,59,14,20,0,45,4
0,466,450,18,1,12,125,65,65,1,57,7,15,0,20,4
0,467,550,22,1,14,160,80,75,1,71,9,15,0,25,4
0,468,670,26,1,17,190,98,90,1,88,11,20,0,35,4
0,469,450,19,1,12,125,64,65,0,57,7,15,0,25,2
0,470,550,23,1,15,160,79,80,0,71,9,20,0,30,2
0,471,670,27,2,17,190,96,95,0,88,11,20,0,35,2
0,472,530,23,1,14,135,76,65,1,67,8,15,0,25,4
0,473,630,26,1,17,160,91,80,1,81,9,15,0,30,4
0,474,760,31,2,20,200,111,95,1,99,12,20,0,35,6
0,475,220,1,0,0,40,50,5,3,44,2,0,2,6,2
0,476,260,1,0,0,50,62,5,4,54,3,0,4,8,2
0,477,340,1,0,1,65,79,5,5,70,4,0,4,10,2
0,478,210,1,0,0,50,47,5,3,44,3,0,30,8,2
0,479,250,1,0,0,60,58,5,3,54,4,0,35,8,4
0,480,330,1,0,1,80,74,5,4,70,5,0,45,10,4
0,481,210,1,0,0,40,50,5,1,46,2,30,20,8,2
0,482,260,1,0,0,45,61,5,1,56,3,40,25,8,2
0,483,340,1,0,1,60,78,5,2,72,4,50,30,10,2
0,484,530,15,1,10,160,86,60,0,63,11,20,0,40,0
0,485,660,19,1,12,200,109,75,0,81,14,25,0,50,0
0,486,820,23,1,15,260,135,90,0,101,18,30,0,60,0
0,487,550,16,1,10,160,90,60,0,79,12,20,0,40,0
0,488,690,20,1,13,210,114,75,0,100,15,25,0,50,0
0,489,850,24,1,15,260,140,90,0,123,18,30,0,70,0
0,490,560,16,1,10,240,91,60,1,77,12,20,0,40,8
0,491,700,20,1,12,300,114,75,2,97,15,25,0,50,10
0,492,850,23,1,15,380,141,85,2,120,19,30,0,60,15
0,493,660,19,1,12,210,109,75,0,93,14,25,0,50,0
0,494,820,23,1,15,260,135,90,0,115,18,30,0,60,0
0,495,650,23,1,14,180,96,50,1,89,13,15,0,45,8
0,496,930,33,1,20,260,139,75,2,128,20,25,0,70,10
0,497,430,15,0,10,120,64,35,1,59,9,10,0,30,4
0,498,510,17,1,9,280,80,45,1,64,12,15,0,40,8
0,499,690,23,1,12,380,106,55,1,85,15,20,0,50,10
0,500,340,11,0,6,190,53,30,1,43,8,10,0,25,6
0,501,810,32,1,15,400,114,60,2,103,21,20,0,60,6
0,502,410,16,0,8,200,57,30,1,51,10,10,0,30,4
